Timestamp,Ref,Class,Order,Family,Subfamily,Tribe,Genera,Species,LifeStage,Method,Number_caught
2024/02/06 07:04,K18L05,Insecta,Zygentoma,Lepismatidae,Ctenolepismatinae,Ctenolepismini,Ctenolepisma,sp.1,Adult,Pitfall,1
2024/02/06 07:06,K18L08,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotini,Camponotus,maculatus,Adult,Pitfall,2
2024/02/06 07:06,K18L08,Insecta,Zygentoma,Lepismatidae,Ctenolepismatinae,Ctenolepismini,Ctenolepisma,sp.1,Adult,Pitfall,1
2024/02/06 08:52,Q17L02,Insecta,Coleoptera,Tenebrionidae,Tenebrioninae,Scaurini,Herpiscius,cf. gracilis,Imm.,Pitfall,1
2024/02/06 08:52,Q17L02,Insecta,Zygentoma,Lepismatidae,Ctenolepismatinae,Ctenolepismini,Ctenolepisma,sp.1,Adult,Pitfall,1
2024/02/06 08:52,Q17L02,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotini,Camponotus,maculatus,Adult,Pitfall,2
2024/02/06 11:30,K18L01,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Zophosini,Zophosis,Unidentified,Adult,Pitfall,1
2024/02/06 11:30,K18L01,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Zophosini,Zophosis (Heliophosis),subcordata,Adult,Pitfall,1
2024/02/06 11:30,K18L01,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,1
2024/02/06 11:32,K18L02,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,5
2024/02/06 11:32,K18L02,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Zophosini,Zophosis,Unidentified,Adult,Pitfall,1
2024/02/06 11:32,K18L02,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotini,Camponotus,fulvopilosus,Adult,Pitfall,1
2024/02/06 11:35,K18L05,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,2
2024/02/06 11:41,K18L09,Arachnida,Araneae,Gnaphosidae,Unidentified,Unidentified,Ibala,Unidentified,Adult,Pitfall,1
2024/02/06 11:41,K18L09,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,3
2024/02/06 11:42,K18L07,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Tetramorium,solidum,Adult,Pitfall,3
2024/02/06 11:42,K18L07,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotini,Camponotus,fulvopilosus,Adult,Pitfall,3
2024/02/06 11:46,K18L04,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Tetramorium,Unidentified,Adult,Pitfall,10
2024/02/06 11:46,K18L04,Insecta,Coleoptera,Scarabaeidae,Scarabaeinae,Scarabaeini,Scarabaeolus,Unidentified,Adult,Pitfall,1
2024/02/06 11:46,K18L04,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,2
2024/02/06 11:48,K18L03,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotini,Camponotus,fulvopilosus,Adult,Pitfall,1
2024/02/06 12:11,H15L01,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Zophosini,Zophosis (Heliophosis),subcordata,Adult,Pitfall,1
2024/02/06 12:11,H15L01,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotini,Camponotus,fulvopilosus,Adult,Pitfall,1
2024/02/06 12:11,H15L01,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,1
2024/02/06 12:16,H15L08,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,1
2024/02/06 12:16,H15L08,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Zophosini,Zophosis,Unidentified,Adult,Pitfall,1
2024/02/06 12:18,H15L10,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Zophosini,Zophosis,Unidentified,Adult,Pitfall,1
2024/02/06 12:19,H15L09,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotini,Camponotus,fulvopilosus,Adult,Pitfall,2
2024/02/06 12:21,H15L07,Insecta,Coleoptera,Curculionidae,Entiminae,Tropiphorini,Spartecerus,sp.1,Adult,Pitfall,1
2024/02/06 12:21,H15L07,Insecta,Coleoptera,Scarabaeidae,Scarabaeinae,Unidentified,Unidentified,Unidentified,Adult,Pitfall,1
2024/02/06 12:21,H15L07,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Tetramorium,solidum,Adult,Pitfall,2
2024/02/06 12:21,H15L07,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotini,Camponotus,fulvopilosus,Adult,Pitfall,1
2024/02/06 12:21,H15L07,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,1
2024/02/06 12:23,H15L06,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotini,Camponotus,fulvopilosus,Adult,Pitfall,1
2024/02/06 12:23,H15L06,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotini,Camponotus,maculatus,Adult,Pitfall,1
2024/02/06 12:25,H15L04,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotini,Camponotus,fulvopilosus,Adult,Pitfall,1
2024/02/06 12:26,H15L03,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,6
2024/02/06 13:03,Q17L01,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotini,Camponotus,maculatus,Adult,Pitfall,1
2024/02/06 13:07,Q17L05,Insecta,Coleoptera,Carabidae,Lebiinae,Graphipterini,Graphipterus,amabilis,Adult,Pitfall,2
2024/02/06 13:07,Q17L05,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Adult,Pitfall,1
2024/02/06 13:07,Q17L05,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotini,Camponotus,fulvopilosus,Adult,Pitfall,2
2024/02/06 13:09,Q17L08,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotini,Camponotus,fulvopilosus,Adult,Pitfall,1
2024/02/06 13:12,Q17L09,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Zophosini,Zophosis (Heliophosis),subcordata,Adult,Pitfall,1
2024/02/06 13:14,Q17L07,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,2
2024/02/06 13:16,Q17L06,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,1
2024/02/06 13:18,Q17L04,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotini,Camponotus,fulvopilosus,Adult,Pitfall,2
2024/02/06 13:18,Q17L04,Insecta,Coleoptera,Curculionidae,Entiminae,Tropiphorini,Spartecerus,sp.1,Adult,Pitfall,1
2024/02/06 13:19,Q17L03,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Zophosini,Zophosis,Unidentified,Adult,Pitfall,1
2024/02/06 13:19,Q17L03,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotini,Camponotus,fulvopilosus,Adult,Pitfall,2
2024/02/06 13:41,P15L02,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,3
2024/02/06 13:42,P15L07,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,3
2024/02/06 13:42,P15L07,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotini,Camponotus,maculatus,Adult,Pitfall,1
2024/02/06 13:42,P15L05,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Zophosini,Zophosis,Unidentified,Adult,Pitfall,1
2024/02/06 13:42,P15L05,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,6
2024/02/06 13:44,P15L08,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,2
2024/02/06 13:46,P15L08,Insecta,Coleoptera,Curculionidae,Entiminae,Tropiphorini,Spartecerus,sp.1,Adult,Pitfall,1
2024/02/06 13:46,P15L08,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Adult,Pitfall,2
2024/02/06 13:48,P15L10,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,5
2024/02/06 13:50,P15L09,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,1
2024/02/06 13:54,P15L06,Insecta,Coleoptera,Curculionidae,Unidentified,Unidentified,Unidentified,sp. 5,Adult,Pitfall,1
2024/02/06 13:58,P15L03,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,2
2024/02/06 14:28,D15L07,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,1
2024/02/06 14:34,D15L08,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,1
2024/02/06 14:36,D15L10,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,2
2024/02/06 14:36,D15L10,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotini,Camponotus,fulvopilosus,Adult,Pitfall,1
2024/02/06 14:38,D15L09,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,2
2024/02/06 14:40,D15L07,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Tetramorium,solidum,Adult,Pitfall,3
2024/02/06 14:44,D15L03,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Zophosini,Zophosis (Dignathosis),arcana,Adult,Pitfall,1
2024/02/06 14:44,D15L03,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Zophosini,Zophosis (Sabulophosis),kalahariensis,Adult,Pitfall,1
2024/02/06 16:00,K18L01,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,4
2024/02/06 16:07,K18L10,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,3
2024/02/06 16:07,K18L10,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Zophosini,Zophosis,Unidentified,Adult,Pitfall,1
2024/02/06 16:09,K18L09,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,2
2024/02/06 16:15,K18L03,Insecta,Hymenoptera,Formicidae,Myrmicinae,Crematogastrini,Ocymyrmex,cf. barbiger,Adult,Pitfall,11
