Area,land_use,Site,MacroHabitat,Sand
KRC,natural,SD15L01,Red sand Acacia woodland,Red dune
KRC,natural,SD15L05,Duneveld,Red dune
KRC,natural,SH15L01,Calcareous Acacia woodland,White calcareous
KRC,natural,SH15L05,Calcareous Acacia woodland,White calcareous
KRC,natural,SJ13L01,Calcareous pan flats,White calcareous
KRC,natural,SJ13L05,Calcareous pan flats,White calcareous
KRC,natural,SJ15L01,Calcareous pan flats,White calcareous
KRC,natural,SJ15L05,Duneveld,Red dune
JN,rotational,SK18L01,Calcareous Acacia woodland,White calcareous
JN,rotational,SK18L05,Red sand Acacia woodland,Red dune
JN,rotational,SL15L01,Calcareous pan flats,White calcareous
JN,rotational,SL15L05,Calcareous pan flats,White calcareous
JN,rotational,SL17L01,Red sand Acacia woodland,Red dune
JN,rotational,SL17L05,Red sand Acacia woodland,Red dune
JS,mixed,SO18L01,Red sand Acacia woodland,Red dune
JS,mixed,SO18L05,Red sand Acacia woodland,Red dune
JS,mixed,SP15L01,Duneveld,Red dune
JS,mixed,SP15L05,Duneveld,Red dune
JS,mixed,SQ17L01,Calcareous pan flats,White calcareous
JS,mixed,SQ17L05,Calcareous pan flats,White calcareous
